Generation,evals,avg,std,min,max,best_one,fitness_best_one
34,354,[  7.         460.16044961],[0.         3.33376224],[  7.         414.22378051],[  7.         464.04330053],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 4, 6, 2, 3, 11, 17, 16, 18, 19, 13, 10, 20, 24, 22, 23, 21]","(7.0, 414.2237805140169)"
35,348,[  7.         458.72594773],[0.         4.47406294],[  7.         414.22378051],[  7.         460.87404988],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 4, 6, 2, 3, 11, 17, 16, 18, 19, 13, 10, 20, 24, 22, 23, 21]","(7.0, 414.2237805140169)"
36,336,[  7.         456.74961167],[0.         6.55434735],[  7.         414.22378051],[  7.         460.87404988],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 4, 6, 2, 3, 11, 17, 16, 18, 19, 13, 10, 20, 24, 22, 23, 21]","(7.0, 414.2237805140169)"
37,362,[  7.         454.27579273],[0.         7.17780993],[  7.         414.22378051],[  7.         459.03767328],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 4, 6, 2, 3, 11, 17, 16, 18, 19, 13, 10, 20, 24, 22, 23, 21]","(7.0, 414.2237805140169)"
38,324,[  7.         451.64508698],[0.         9.29342252],[  7.         414.22378051],[  7.         456.69274795],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 4, 6, 2, 3, 11, 17, 16, 18, 19, 13, 10, 20, 24, 22, 23, 21]","(7.0, 414.2237805140169)"
39,356,[  7.         448.74340081],[ 0.         11.51357408],[  7.         411.77747822],[  7.        455.5111321],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 4, 6, 2, 3, 11, 16, 17, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 411.7774782249504)"
40,348,[  7.002      444.61624663],[ 0.04467662 13.19916728],[  7.         411.77747822],[  8.        453.5341758],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 4, 6, 2, 3, 11, 16, 17, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 411.7774782249504)"
41,346,[  7.002      438.90352474],[ 0.04467662 14.86753933],[  7.         411.77747822],[  8.         450.54068277],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 4, 6, 2, 3, 11, 16, 17, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 411.7774782249504)"
42,350,[  7.         431.72951978],[ 0.         15.71026395],[  7.         411.77747822],[  7.         447.36807068],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 4, 6, 2, 3, 11, 16, 17, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 411.7774782249504)"
43,338,[  7.         421.43606302],[ 0.        11.9303245],[  7.         411.77747822],[  7.        445.7420665],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 4, 6, 2, 3, 11, 16, 17, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 411.7774782249504)"
44,342,[  7.         414.29534609],[0.         0.61329053],[  7.         411.77747822],[  7.         414.88315953],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 4, 6, 2, 3, 11, 16, 17, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 411.7774782249504)"
45,356,[  7.         413.98610532],[0.         0.73989952],[  7.         406.66015508],[  7.         414.22378051],"[1, 5, 7, 9, 8, 25, 16, 14, 12, 4, 2, 6, 3, 11, 17, 15, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 406.66015507985105)"
46,348,[  7.         413.79834933],[0.         1.04863079],[  7.         406.02574149],[  7.         414.22378051],"[1, 5, 7, 9, 8, 25, 16, 14, 12, 4, 6, 2, 3, 11, 17, 15, 18, 19, 13, 10, 20, 24, 22, 23, 21]","(7.0, 406.0257414868313)"
47,332,[  7.         413.39508256],[0.         1.44476367],[  7.         406.02574149],[  7.         414.22378051],"[1, 5, 7, 9, 8, 25, 16, 14, 12, 4, 6, 2, 3, 11, 17, 15, 18, 19, 13, 10, 20, 24, 22, 23, 21]","(7.0, 406.0257414868313)"
48,350,[  7.         412.78040418],[0.         1.70588794],[  7.         406.02574149],[  7.         414.22378051],"[1, 5, 7, 9, 8, 25, 16, 14, 12, 4, 6, 2, 3, 11, 17, 15, 18, 19, 13, 10, 20, 24, 22, 23, 21]","(7.0, 406.0257414868313)"
49,370,[  7.         411.75144474],[0.         1.76567515],[  7.         404.50457822],[  7.         413.72853837],"[1, 5, 7, 9, 8, 25, 16, 14, 12, 4, 6, 2, 3, 11, 15, 17, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 404.5045782228947)"
50,348,[  7.         410.99165055],[0.         1.86595225],[  7.         404.50457822],[  7.         411.77747822],"[1, 5, 7, 9, 8, 25, 16, 14, 12, 4, 6, 2, 3, 11, 15, 17, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 404.5045782228947)"
